"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Ilman lämpötila [°C]","Sademäärä [mm]"
"Helsinki Kumpula","2024","6","1","00:40","18.5","0"
"Helsinki Kumpula","2024","6","1","00:50","19.4","0"
"Helsinki Kumpula","2024","6","1","01:00","19.5","0"
"Helsinki Kumpula","2024","6","1","01:10","19.7","0"
"Helsinki Kumpula","2024","6","1","01:20","20.1","0"
"Helsinki Kumpula","2024","6","1","01:30","19.5","0"
"Helsinki Kumpula","2024","6","1","01:40","19.9","0"
"Helsinki Kumpula","2024","6","1","01:50","19.5","0"
"Helsinki Kumpula","2024","6","1","02:00","19.5","0"
"Helsinki Kumpula","2024","6","1","02:10","19.3","0"
"Helsinki Kumpula","2024","6","1","02:20","19.3","0"
"Helsinki Kumpula","2024","6","1","02:30","19.7","0"
"Helsinki Kumpula","2024","6","1","02:40","19.3","0"
"Helsinki Kumpula","2024","6","1","02:50","19.3","0"
"Helsinki Kumpula","2024","6","1","03:00","19.2","0"
"Helsinki Kumpula","2024","6","1","03:10","18.6","0"
"Helsinki Kumpula","2024","6","1","03:20","18.9","0"
"Helsinki Kumpula","2024","6","1","03:30","18.4","0"
"Helsinki Kumpula","2024","6","1","03:40","18.5","0"
"Helsinki Kumpula","2024","6","1","03:50","18.4","0"
"Helsinki Kumpula","2024","6","1","04:00","18.4","0"
"Helsinki Kumpula","2024","6","1","04:10","18.4","0"
"Helsinki Kumpula","2024","6","1","04:20","18.4","0"
"Helsinki Kumpula","2024","6","1","04:30","18.6","0"
"Helsinki Kumpula","2024","6","1","04:40","18.5","0"
"Helsinki Kumpula","2024","6","1","04:50","18.6","0"
"Helsinki Kumpula","2024","6","1","05:00","18.5","0"
"Helsinki Kumpula","2024","6","1","05:10","18.5","0"
"Helsinki Kumpula","2024","6","1","05:20","17.9","0"
"Helsinki Kumpula","2024","6","1","05:30","17.6","0"
"Helsinki Kumpula","2024","6","1","05:40","18.6","0"
"Helsinki Kumpula","2024","6","1","05:50","19","0"
"Helsinki Kumpula","2024","6","1","06:00","19.2","0"
"Helsinki Kumpula","2024","6","1","06:10","19.3","0"
"Helsinki Kumpula","2024","6","1","06:20","19.6","0"
"Helsinki Kumpula","2024","6","1","06:30","19.8","0"
"Helsinki Kumpula","2024","6","1","06:40","20.4","0"
"Helsinki Kumpula","2024","6","1","06:50","20.8","0"
"Helsinki Kumpula","2024","6","1","07:00","21.1","0"
"Helsinki Kumpula","2024","6","1","07:10","21.3","0"
"Helsinki Kumpula","2024","6","1","07:20","21.2","0"
"Helsinki Kumpula","2024","6","1","07:30","21.5","0"
"Helsinki Kumpula","2024","6","1","07:40","21.7","0"
"Helsinki Kumpula","2024","6","1","07:50","22.1","0"
"Helsinki Kumpula","2024","6","1","08:00","22","0"
"Helsinki Kumpula","2024","6","1","08:10","22.2","0"
"Helsinki Kumpula","2024","6","1","08:20","22.7","0"
"Helsinki Kumpula","2024","6","1","08:30","23","0"
"Helsinki Kumpula","2024","6","1","08:40","23.3","0"
"Helsinki Kumpula","2024","6","1","08:50","23.7","0"
"Helsinki Kumpula","2024","6","1","09:00","23.8","0"
"Helsinki Kumpula","2024","6","1","09:10","24.1","0"
"Helsinki Kumpula","2024","6","1","09:20","24.2","0"
"Helsinki Kumpula","2024","6","1","09:30","24.1","0"
"Helsinki Kumpula","2024","6","1","09:40","24.3","0"
"Helsinki Kumpula","2024","6","1","09:50","24.3","0"
"Helsinki Kumpula","2024","6","1","10:00","24.1","0"
"Helsinki Kumpula","2024","6","1","10:10","25","0"
"Helsinki Kumpula","2024","6","1","10:20","25","0"
"Helsinki Kumpula","2024","6","1","10:30","25.2","0"
"Helsinki Kumpula","2024","6","1","10:40","25.3","0"
"Helsinki Kumpula","2024","6","1","10:50","25.9","0"
"Helsinki Kumpula","2024","6","1","11:00","26","0"
"Helsinki Kumpula","2024","6","1","11:10","26.6","0"
"Helsinki Kumpula","2024","6","1","11:20","27","0"
"Helsinki Kumpula","2024","6","1","11:30","27","0"
"Helsinki Kumpula","2024","6","1","11:40","25.7","0"
"Helsinki Kumpula","2024","6","1","11:50","25.3","0"
"Helsinki Kumpula","2024","6","1","12:00","25","0"
"Helsinki Kumpula","2024","6","1","12:10","24.9","0"
"Helsinki Kumpula","2024","6","1","12:20","25","0"
"Helsinki Kumpula","2024","6","1","12:30","25","0"
"Helsinki Kumpula","2024","6","1","12:40","24.9","0"
"Helsinki Kumpula","2024","6","1","12:50","24.7","0"
"Helsinki Kumpula","2024","6","1","13:00","25.1","0"
"Helsinki Kumpula","2024","6","1","13:10","25.5","0"
"Helsinki Kumpula","2024","6","1","13:20","25","0"
"Helsinki Kumpula","2024","6","1","13:30","24.6","0"
"Helsinki Kumpula","2024","6","1","13:40","24.1","0"
"Helsinki Kumpula","2024","6","1","13:50","25","0"
"Helsinki Kumpula","2024","6","1","14:00","26.2","0"
"Helsinki Kumpula","2024","6","1","14:10","25.9","0"
"Helsinki Kumpula","2024","6","1","14:20","25.4","0"
"Helsinki Kumpula","2024","6","1","14:30","25","0"
"Helsinki Kumpula","2024","6","1","14:40","24.9","0"
"Helsinki Kumpula","2024","6","1","14:50","24.4","0"
"Helsinki Kumpula","2024","6","1","15:00","23.9","0"
"Helsinki Kumpula","2024","6","1","15:10","23.2","0"
"Helsinki Kumpula","2024","6","1","15:20","23","0"
"Helsinki Kumpula","2024","6","1","15:30","23.6","0"
"Helsinki Kumpula","2024","6","1","15:40","22.7","0"
"Helsinki Kumpula","2024","6","1","15:50","23.2","0"
"Helsinki Kumpula","2024","6","1","16:00","23.2","0"
"Helsinki Kumpula","2024","6","1","16:10","23.8","0"
"Helsinki Kumpula","2024","6","1","16:20","24","0"
"Helsinki Kumpula","2024","6","1","16:30","23.6","0"
"Helsinki Kumpula","2024","6","1","16:40","24.1","0"
"Helsinki Kumpula","2024","6","1","16:50","24.9","0"
"Helsinki Kumpula","2024","6","1","17:00","24.9","0"
"Helsinki Kumpula","2024","6","1","17:10","24.7","0"
"Helsinki Kumpula","2024","6","1","17:20","24.3","0"
"Helsinki Kumpula","2024","6","1","17:30","24.2","0"
"Helsinki Kumpula","2024","6","1","17:40","24.7","0"
"Helsinki Kumpula","2024","6","1","17:50","24.3","0"
"Helsinki Kumpula","2024","6","1","18:00","24.2","0"
"Helsinki Kumpula","2024","6","1","18:10","23.8","0"
"Helsinki Kumpula","2024","6","1","18:20","23.4","0"
"Helsinki Kumpula","2024","6","1","18:30","23.1","0"
"Helsinki Kumpula","2024","6","1","18:40","22.7","0"
"Helsinki Kumpula","2024","6","1","18:50","22.6","0"
"Helsinki Kumpula","2024","6","1","19:00","22.4","0"
"Helsinki Kumpula","2024","6","1","19:10","22.2","0"
"Helsinki Kumpula","2024","6","1","19:20","22","0"
"Helsinki Kumpula","2024","6","1","19:30","21.8","0"
"Helsinki Kumpula","2024","6","1","19:40","21.6","0"
"Helsinki Kumpula","2024","6","1","19:50","21.5","0"
"Helsinki Kumpula","2024","6","1","20:00","21.5","0"
"Helsinki Kumpula","2024","6","1","20:10","21.5","0"
"Helsinki Kumpula","2024","6","1","20:20","21.6","0"
"Helsinki Kumpula","2024","6","1","20:30","21.5","0"
"Helsinki Kumpula","2024","6","1","20:40","21.3","0"
"Helsinki Kumpula","2024","6","1","20:50","21.6","0"
"Helsinki Kumpula","2024","6","1","21:00","22","0"
"Helsinki Kumpula","2024","6","1","21:10","21.8","0"
"Helsinki Kumpula","2024","6","1","21:20","21.9","0"
"Helsinki Kumpula","2024","6","1","21:30","21.8","0"
"Helsinki Kumpula","2024","6","1","21:40","22","0"
"Helsinki Kumpula","2024","6","1","21:50","22.2","0"
"Helsinki Kumpula","2024","6","1","22:00","22.1","0"
"Helsinki Kumpula","2024","6","1","22:10","21.7","0"
"Helsinki Kumpula","2024","6","1","22:20","21.9","0"
"Helsinki Kumpula","2024","6","1","22:30","21.9","0"
"Helsinki Kumpula","2024","6","1","22:40","21.9","0"
"Helsinki Kumpula","2024","6","1","22:50","22","0"
"Helsinki Kumpula","2024","6","1","23:00","22","0"
"Helsinki Kumpula","2024","6","1","23:10","21.6","0"
"Helsinki Kumpula","2024","6","1","23:20","21.3","0"
"Helsinki Kumpula","2024","6","1","23:30","21.4","0"
"Helsinki Kumpula","2024","6","1","23:40","21.2","0"
"Helsinki Kumpula","2024","6","1","23:50","21.3","0"
"Helsinki Kumpula","2024","6","2","00:00","20.8","0"
"Helsinki Kumpula","2024","6","2","00:10","20.2","0"
"Helsinki Kumpula","2024","6","2","00:20","19.7","0"
"Helsinki Kumpula","2024","6","2","00:30","19.4","0"
"Helsinki Kumpula","2024","6","2","00:40","19.3","0"
"Helsinki Kumpula","2024","6","2","00:50","19","0"
"Helsinki Kumpula","2024","6","2","01:00","18.9","0"
"Helsinki Kumpula","2024","6","2","01:10","18.7","0"
"Helsinki Kumpula","2024","6","2","01:20","18.7","0"
"Helsinki Kumpula","2024","6","2","01:30","18.7","0"
"Helsinki Kumpula","2024","6","2","01:40","18.6","0"
"Helsinki Kumpula","2024","6","2","01:50","18.9","0"
"Helsinki Kumpula","2024","6","2","02:00","19","0"
"Helsinki Kumpula","2024","6","2","02:10","18.7","0.15"
"Helsinki Kumpula","2024","6","2","02:20","18.4","0.05"
"Helsinki Kumpula","2024","6","2","02:30","17.9","0.2"
"Helsinki Kumpula","2024","6","2","02:40","17.7","0.37"
"Helsinki Kumpula","2024","6","2","02:50","17.4","0.1"
"Helsinki Kumpula","2024","6","2","03:00","17","0"
"Helsinki Kumpula","2024","6","2","03:10","17","0"
"Helsinki Kumpula","2024","6","2","03:20","17","0"
"Helsinki Kumpula","2024","6","2","03:30","17.4","0"
"Helsinki Kumpula","2024","6","2","03:40","17.1","0"
"Helsinki Kumpula","2024","6","2","03:50","17","0"
"Helsinki Kumpula","2024","6","2","04:00","17.3","0"
"Helsinki Kumpula","2024","6","2","04:10","17.5","0"
"Helsinki Kumpula","2024","6","2","04:20","17.5","0"
"Helsinki Kumpula","2024","6","2","04:30","17.3","0"
"Helsinki Kumpula","2024","6","2","04:40","17.5","0"
"Helsinki Kumpula","2024","6","2","04:50","17.6","0"
"Helsinki Kumpula","2024","6","2","05:00","17.7","0"
"Helsinki Kumpula","2024","6","2","05:10","17.1","0"
"Helsinki Kumpula","2024","6","2","05:20","17","0"
"Helsinki Kumpula","2024","6","2","05:30","17","0"
"Helsinki Kumpula","2024","6","2","05:40","17.3","0"
"Helsinki Kumpula","2024","6","2","05:50","18.3","0"
"Helsinki Kumpula","2024","6","2","06:00","18.5","0"
"Helsinki Kumpula","2024","6","2","06:10","18.9","0"
"Helsinki Kumpula","2024","6","2","06:20","19.5","0"
"Helsinki Kumpula","2024","6","2","06:30","19.8","0"
"Helsinki Kumpula","2024","6","2","06:40","19.1","0"
"Helsinki Kumpula","2024","6","2","06:50","18.8","0"
"Helsinki Kumpula","2024","6","2","07:00","19.3","0"
"Helsinki Kumpula","2024","6","2","07:10","20.4","0"
"Helsinki Kumpula","2024","6","2","07:20","20.1","0"
"Helsinki Kumpula","2024","6","2","07:30","20.2","0"
"Helsinki Kumpula","2024","6","2","07:40","20","0"
"Helsinki Kumpula","2024","6","2","07:50","20.8","0"
"Helsinki Kumpula","2024","6","2","08:00","20.6","0"
"Helsinki Kumpula","2024","6","2","08:10","20.4","0"
"Helsinki Kumpula","2024","6","2","08:20","21.2","0"
"Helsinki Kumpula","2024","6","2","08:30","21.8","0"
"Helsinki Kumpula","2024","6","2","08:40","21.1","0"
"Helsinki Kumpula","2024","6","2","08:50","20.8","0"
"Helsinki Kumpula","2024","6","2","09:00","20.5","0"
"Helsinki Kumpula","2024","6","2","09:10","21","0"
"Helsinki Kumpula","2024","6","2","09:20","20.9","0"
"Helsinki Kumpula","2024","6","2","09:30","20.6","0"
"Helsinki Kumpula","2024","6","2","09:40","20.7","0"
"Helsinki Kumpula","2024","6","2","09:50","20.5","0"
"Helsinki Kumpula","2024","6","2","10:00","20.7","0"
"Helsinki Kumpula","2024","6","2","10:10","20.8","0"
"Helsinki Kumpula","2024","6","2","10:20","20.5","0"
"Helsinki Kumpula","2024","6","2","10:30","21","0"
"Helsinki Kumpula","2024","6","2","10:40","21.4","0"
"Helsinki Kumpula","2024","6","2","10:50","21.9","0"
"Helsinki Kumpula","2024","6","2","11:00","22.3","0"
"Helsinki Kumpula","2024","6","2","11:10","22.1","0"
"Helsinki Kumpula","2024","6","2","11:20","21.4","0"
"Helsinki Kumpula","2024","6","2","11:30","21.6","0"
"Helsinki Kumpula","2024","6","2","11:40","22","0"
"Helsinki Kumpula","2024","6","2","11:50","22","0.15"
"Helsinki Kumpula","2024","6","2","12:00","22.5","0"
"Helsinki Kumpula","2024","6","2","12:10","22.6","0"
"Helsinki Kumpula","2024","6","2","12:20","22.6","0"
"Helsinki Kumpula","2024","6","2","12:30","22.6","0"
"Helsinki Kumpula","2024","6","2","12:40","22.2","0"
"Helsinki Kumpula","2024","6","2","12:50","22.5","0"
"Helsinki Kumpula","2024","6","2","13:00","23.5","0"
"Helsinki Kumpula","2024","6","2","13:10","23.7","0"
"Helsinki Kumpula","2024","6","2","13:20","23.3","0"
"Helsinki Kumpula","2024","6","2","13:30","23.1","0"
"Helsinki Kumpula","2024","6","2","13:40","23.8","0"
"Helsinki Kumpula","2024","6","2","13:50","24.3","0"
"Helsinki Kumpula","2024","6","2","14:00","24.4","0"
"Helsinki Kumpula","2024","6","2","14:10","24.5","0"
"Helsinki Kumpula","2024","6","2","14:20","23.9","0"
"Helsinki Kumpula","2024","6","2","14:30","24.6","0"
"Helsinki Kumpula","2024","6","2","14:40","24.7","0"
"Helsinki Kumpula","2024","6","2","14:50","24.8","0"
"Helsinki Kumpula","2024","6","2","15:00","24.8","0"
"Helsinki Kumpula","2024","6","2","15:10","24.2","0"
"Helsinki Kumpula","2024","6","2","15:20","24.1","0"
"Helsinki Kumpula","2024","6","2","15:30","24","0"
"Helsinki Kumpula","2024","6","2","15:40","24.1","0"
"Helsinki Kumpula","2024","6","2","15:50","24.1","0"
"Helsinki Kumpula","2024","6","2","16:00","24.5","0"
"Helsinki Kumpula","2024","6","2","16:10","24","0"
"Helsinki Kumpula","2024","6","2","16:20","24.6","0"
"Helsinki Kumpula","2024","6","2","16:30","23.4","0"
"Helsinki Kumpula","2024","6","2","16:40","23.9","0"
"Helsinki Kumpula","2024","6","2","16:50","23.7","0"
"Helsinki Kumpula","2024","6","2","17:00","23.5","0"
"Helsinki Kumpula","2024","6","2","17:10","23.5","0"
"Helsinki Kumpula","2024","6","2","17:20","23.5","0"
"Helsinki Kumpula","2024","6","2","17:30","23.8","0"
"Helsinki Kumpula","2024","6","2","17:40","23.5","0"
"Helsinki Kumpula","2024","6","2","17:50","24","0"
"Helsinki Kumpula","2024","6","2","18:00","23.8","0"
"Helsinki Kumpula","2024","6","2","18:10","23.6","0"
"Helsinki Kumpula","2024","6","2","18:20","23.9","0"
"Helsinki Kumpula","2024","6","2","18:30","23.4","0"
"Helsinki Kumpula","2024","6","2","18:40","23","0"
"Helsinki Kumpula","2024","6","2","18:50","23.4","0"
"Helsinki Kumpula","2024","6","2","19:00","23.2","0"
"Helsinki Kumpula","2024","6","2","19:10","23.2","0"
"Helsinki Kumpula","2024","6","2","19:20","23.2","0"
"Helsinki Kumpula","2024","6","2","19:30","22.3","0"
"Helsinki Kumpula","2024","6","2","19:40","21.4","0"
"Helsinki Kumpula","2024","6","2","19:50","20.9","0"
"Helsinki Kumpula","2024","6","2","20:00","20.7","0"
"Helsinki Kumpula","2024","6","2","20:10","20.5","0"
"Helsinki Kumpula","2024","6","2","20:20","20.6","0"
"Helsinki Kumpula","2024","6","2","20:30","21.5","0"
"Helsinki Kumpula","2024","6","2","20:40","21.5","0"
"Helsinki Kumpula","2024","6","2","20:50","21","0"
"Helsinki Kumpula","2024","6","2","21:00","20.7","0"
"Helsinki Kumpula","2024","6","2","21:10","20.5","0"
"Helsinki Kumpula","2024","6","2","21:20","20.9","0"
"Helsinki Kumpula","2024","6","2","21:30","20.3","0"
"Helsinki Kumpula","2024","6","2","21:40","20","0"
"Helsinki Kumpula","2024","6","2","21:50","19.7","0"
"Helsinki Kumpula","2024","6","2","22:00","19.5","0"
"Helsinki Kumpula","2024","6","2","22:10","19.3","0"
"Helsinki Kumpula","2024","6","2","22:20","19","0"
"Helsinki Kumpula","2024","6","2","22:30","18.9","0"
"Helsinki Kumpula","2024","6","2","22:40","18.8","0"
"Helsinki Kumpula","2024","6","2","22:50","18.8","0"
"Helsinki Kumpula","2024","6","2","23:00","18.8","0"
"Helsinki Kumpula","2024","6","2","23:10","18.4","0"
"Helsinki Kumpula","2024","6","2","23:20","18","0"
"Helsinki Kumpula","2024","6","2","23:30","17.9","0"
"Helsinki Kumpula","2024","6","2","23:40","18.2","0"
"Helsinki Kumpula","2024","6","2","23:50","17.9","0"
"Helsinki Kumpula","2024","6","3","00:00","18.5","0"
"Helsinki Kumpula","2024","6","3","00:10","17.4","0"
"Helsinki Kumpula","2024","6","3","00:20","17.2","0"
"Helsinki Kumpula","2024","6","3","00:30","17.3","0"
"Helsinki Kumpula","2024","6","3","00:40","17.1","0"
"Helsinki Kumpula","2024","6","3","00:50","17.1","0"
"Helsinki Kumpula","2024","6","3","01:00","16.7","0"
"Helsinki Kumpula","2024","6","3","01:10","17","0"
"Helsinki Kumpula","2024","6","3","01:20","16.6","0"
"Helsinki Kumpula","2024","6","3","01:30","16.4","0"
"Helsinki Kumpula","2024","6","3","01:40","16.2","0"
"Helsinki Kumpula","2024","6","3","01:50","16.1","0"
"Helsinki Kumpula","2024","6","3","02:00","15.8","0"
"Helsinki Kumpula","2024","6","3","02:10","15.9","0"
"Helsinki Kumpula","2024","6","3","02:20","16","0"
"Helsinki Kumpula","2024","6","3","02:30","15.6","0"
"Helsinki Kumpula","2024","6","3","02:40","15.5","0"
"Helsinki Kumpula","2024","6","3","02:50","15.3","0"
"Helsinki Kumpula","2024","6","3","03:00","15.4","0"
"Helsinki Kumpula","2024","6","3","03:10","15.4","0"
"Helsinki Kumpula","2024","6","3","03:20","15.6","0"
"Helsinki Kumpula","2024","6","3","03:30","15.6","0"
"Helsinki Kumpula","2024","6","3","03:40","15.4","0"
"Helsinki Kumpula","2024","6","3","03:50","15.6","0"
"Helsinki Kumpula","2024","6","3","04:00","15.6","0"
"Helsinki Kumpula","2024","6","3","04:10","15.3","0"
"Helsinki Kumpula","2024","6","3","04:20","15","0"
"Helsinki Kumpula","2024","6","3","04:30","15.1","0"
"Helsinki Kumpula","2024","6","3","04:40","15.1","0"
"Helsinki Kumpula","2024","6","3","04:50","15.3","0"
"Helsinki Kumpula","2024","6","3","05:00","15.4","0"
"Helsinki Kumpula","2024","6","3","05:10","15.9","0"
"Helsinki Kumpula","2024","6","3","05:20","15.6","0"
"Helsinki Kumpula","2024","6","3","05:30","16.1","0"
"Helsinki Kumpula","2024","6","3","05:40","16.3","0"
"Helsinki Kumpula","2024","6","3","05:50","16.8","0"
"Helsinki Kumpula","2024","6","3","06:00","16.7","0"
"Helsinki Kumpula","2024","6","3","06:10","17.4","0"
"Helsinki Kumpula","2024","6","3","06:20","17.5","0"
"Helsinki Kumpula","2024","6","3","06:30","17.8","0"
"Helsinki Kumpula","2024","6","3","06:40","18.3","0"
"Helsinki Kumpula","2024","6","3","06:50","18.3","0"
"Helsinki Kumpula","2024","6","3","07:00","18.7","0"
"Helsinki Kumpula","2024","6","3","07:10","19.1","0"
"Helsinki Kumpula","2024","6","3","07:20","19.1","0"
"Helsinki Kumpula","2024","6","3","07:30","19.5","0"
"Helsinki Kumpula","2024","6","3","07:40","19.5","0"
"Helsinki Kumpula","2024","6","3","07:50","20","0"
"Helsinki Kumpula","2024","6","3","08:00","20.4","0"
"Helsinki Kumpula","2024","6","3","08:10","20.6","0"
"Helsinki Kumpula","2024","6","3","08:20","20.9","0"
"Helsinki Kumpula","2024","6","3","08:30","21.3","0"
"Helsinki Kumpula","2024","6","3","08:40","21.1","0"
"Helsinki Kumpula","2024","6","3","08:50","21.9","0"
"Helsinki Kumpula","2024","6","3","09:00","21.9","0"
"Helsinki Kumpula","2024","6","3","09:10","21.8","0"
"Helsinki Kumpula","2024","6","3","09:20","22.1","0"
"Helsinki Kumpula","2024","6","3","09:30","22.5","0"
"Helsinki Kumpula","2024","6","3","09:40","23.2","0"
"Helsinki Kumpula","2024","6","3","09:50","22.8","0"
"Helsinki Kumpula","2024","6","3","10:00","22.9","0"
"Helsinki Kumpula","2024","6","3","10:10","23.2","0"
"Helsinki Kumpula","2024","6","3","10:20","23.7","0"
"Helsinki Kumpula","2024","6","3","10:30","23.6","0"
"Helsinki Kumpula","2024","6","3","10:40","23.5","0"
"Helsinki Kumpula","2024","6","3","10:50","24.2","0"
"Helsinki Kumpula","2024","6","3","11:00","24.6","0"
"Helsinki Kumpula","2024","6","3","11:10","24.5","0"
"Helsinki Kumpula","2024","6","3","11:20","24.5","0"
"Helsinki Kumpula","2024","6","3","11:30","25.1","0"
"Helsinki Kumpula","2024","6","3","11:40","24.7","0"
"Helsinki Kumpula","2024","6","3","11:50","24","0"
"Helsinki Kumpula","2024","6","3","12:00","24.5","0"
"Helsinki Kumpula","2024","6","3","12:10","25.4","0"
"Helsinki Kumpula","2024","6","3","12:20","26.1","0"
"Helsinki Kumpula","2024","6","3","12:30","25.6","0"
"Helsinki Kumpula","2024","6","3","12:40","26.2","0"
"Helsinki Kumpula","2024","6","3","12:50","26.2","0"
"Helsinki Kumpula","2024","6","3","13:00","23.7","0"
"Helsinki Kumpula","2024","6","3","13:10","23.1","0"
"Helsinki Kumpula","2024","6","3","13:20","22.5","0"
"Helsinki Kumpula","2024","6","3","13:30","21.8","0"
"Helsinki Kumpula","2024","6","3","13:40","23.8","0"
"Helsinki Kumpula","2024","6","3","13:50","24.7","0"
"Helsinki Kumpula","2024","6","3","14:00","25.3","0"
"Helsinki Kumpula","2024","6","3","14:10","25.1","0"
"Helsinki Kumpula","2024","6","3","14:20","23.5","0"
"Helsinki Kumpula","2024","6","3","14:30","23.4","0"
"Helsinki Kumpula","2024","6","3","14:40","23.4","0"
"Helsinki Kumpula","2024","6","3","14:50","22.3","0"
"Helsinki Kumpula","2024","6","3","15:00","22.2","0"
"Helsinki Kumpula","2024","6","3","15:10","22.3","0"
"Helsinki Kumpula","2024","6","3","15:20","22.4","0"
"Helsinki Kumpula","2024","6","3","15:30","23.1","0"
"Helsinki Kumpula","2024","6","3","15:40","24.6","0"
"Helsinki Kumpula","2024","6","3","15:50","23.5","0"
"Helsinki Kumpula","2024","6","3","16:00","22.8","0"
"Helsinki Kumpula","2024","6","3","16:10","22.3","0"
"Helsinki Kumpula","2024","6","3","16:20","22.7","0"
"Helsinki Kumpula","2024","6","3","16:30","22.8","0"
"Helsinki Kumpula","2024","6","3","16:40","23.8","0"
"Helsinki Kumpula","2024","6","3","16:50","24.9","0"
"Helsinki Kumpula","2024","6","3","17:00","25.3","0"
"Helsinki Kumpula","2024","6","3","17:10","25.3","0"
"Helsinki Kumpula","2024","6","3","17:20","25.7","0"
"Helsinki Kumpula","2024","6","3","17:30","25.5","0"
"Helsinki Kumpula","2024","6","3","17:40","25.3","0"
"Helsinki Kumpula","2024","6","3","17:50","24.6","0"
"Helsinki Kumpula","2024","6","3","18:00","24.7","0"
"Helsinki Kumpula","2024","6","3","18:10","24.7","0"
"Helsinki Kumpula","2024","6","3","18:20","25","0"
"Helsinki Kumpula","2024","6","3","18:30","25.3","0"
"Helsinki Kumpula","2024","6","3","18:40","23.9","0"
"Helsinki Kumpula","2024","6","3","18:50","24.6","0"
"Helsinki Kumpula","2024","6","3","19:00","24.3","0"
"Helsinki Kumpula","2024","6","3","19:10","24.5","0"
"Helsinki Kumpula","2024","6","3","19:20","24.6","0"
"Helsinki Kumpula","2024","6","3","19:30","24","0"
"Helsinki Kumpula","2024","6","3","19:40","23.6","0"
"Helsinki Kumpula","2024","6","3","19:50","23.5","0"
"Helsinki Kumpula","2024","6","3","20:00","23.5","0"
"Helsinki Kumpula","2024","6","3","20:10","23.4","0"
"Helsinki Kumpula","2024","6","3","20:20","23.3","0"
"Helsinki Kumpula","2024","6","3","20:30","23.2","0"
"Helsinki Kumpula","2024","6","3","20:40","22.7","0"
"Helsinki Kumpula","2024","6","3","20:50","22.4","0"
"Helsinki Kumpula","2024","6","3","21:00","22","0"
"Helsinki Kumpula","2024","6","3","21:10","21.9","0"
"Helsinki Kumpula","2024","6","3","21:20","21.6","0"
"Helsinki Kumpula","2024","6","3","21:30","21.3","0"
"Helsinki Kumpula","2024","6","3","21:40","21.2","0"
"Helsinki Kumpula","2024","6","3","21:50","21.1","0"
"Helsinki Kumpula","2024","6","3","22:00","21.2","0"
"Helsinki Kumpula","2024","6","3","22:10","20.8","0"
"Helsinki Kumpula","2024","6","3","22:20","20.9","0"
"Helsinki Kumpula","2024","6","3","22:30","21","0"
"Helsinki Kumpula","2024","6","3","22:40","20.4","0"
"Helsinki Kumpula","2024","6","3","22:50","20.1","0"
"Helsinki Kumpula","2024","6","3","23:00","19.7","0"
"Helsinki Kumpula","2024","6","3","23:10","19.8","0"
"Helsinki Kumpula","2024","6","3","23:20","19.6","0"
"Helsinki Kumpula","2024","6","3","23:30","19.3","0"
"Helsinki Kumpula","2024","6","3","23:40","19.3","0"
"Helsinki Kumpula","2024","6","3","23:50","19.2","0"
"Helsinki Kumpula","2024","6","4","00:00","18.9","0"
"Helsinki Kumpula","2024","6","4","00:10","18.7","0"
"Helsinki Kumpula","2024","6","4","00:20","18.5","0"
"Helsinki Kumpula","2024","6","4","00:30","18.6","0"
"Helsinki Kumpula","2024","6","4","00:40","18.5","0"
"Helsinki Kumpula","2024","6","4","00:50","18.3","0"
"Helsinki Kumpula","2024","6","4","01:00","18.2","0"
"Helsinki Kumpula","2024","6","4","01:10","17.7","0"
"Helsinki Kumpula","2024","6","4","01:20","17.8","0"
"Helsinki Kumpula","2024","6","4","01:30","17.6","0"
"Helsinki Kumpula","2024","6","4","01:40","17.3","0"
"Helsinki Kumpula","2024","6","4","01:50","17.3","0"
"Helsinki Kumpula","2024","6","4","02:00","17.2","0"
"Helsinki Kumpula","2024","6","4","02:10","17.1","0"
"Helsinki Kumpula","2024","6","4","02:20","17","0"
"Helsinki Kumpula","2024","6","4","02:30","17","0"
"Helsinki Kumpula","2024","6","4","02:40","16.9","0"
"Helsinki Kumpula","2024","6","4","02:50","16.7","0"
"Helsinki Kumpula","2024","6","4","03:00","16.4","0"
"Helsinki Kumpula","2024","6","4","03:10","16.2","0"
"Helsinki Kumpula","2024","6","4","03:20","16.2","0"
"Helsinki Kumpula","2024","6","4","03:30","15.8","0"
"Helsinki Kumpula","2024","6","4","03:40","15.8","0"
"Helsinki Kumpula","2024","6","4","03:50","15.7","0"
"Helsinki Kumpula","2024","6","4","04:00","15.5","0"
"Helsinki Kumpula","2024","6","4","04:10","15.5","0"
"Helsinki Kumpula","2024","6","4","04:20","15.5","0"
"Helsinki Kumpula","2024","6","4","04:30","15.6","0"
"Helsinki Kumpula","2024","6","4","04:40","15.6","0"
"Helsinki Kumpula","2024","6","4","04:50","15.9","0"
"Helsinki Kumpula","2024","6","4","05:00","16.2","0"
"Helsinki Kumpula","2024","6","4","05:10","16.4","0"
"Helsinki Kumpula","2024","6","4","05:20","16.8","0"
"Helsinki Kumpula","2024","6","4","05:30","17.2","0"
"Helsinki Kumpula","2024","6","4","05:40","17.5","0"
"Helsinki Kumpula","2024","6","4","05:50","17.8","0"
"Helsinki Kumpula","2024","6","4","06:00","18.1","0"
"Helsinki Kumpula","2024","6","4","06:10","18.3","0"
"Helsinki Kumpula","2024","6","4","06:20","18.6","0"
